name,state,country,latitude,longitude,population
Valmiera,,,57.5391883,25.4216251,50000
San Francisco,California,United States,37.7792768,-122.4192704,50000
San Gabriel,California,United States,34.0991325,-118.1086041,50000
Salford,England,United Kingdom,53.4877711,-2.2893192,50000
Truro,,United Kingdom,50.2627515,-5.0520467,50000
Ripon,England,United Kingdom,54.1368788,-1.5213194,50000
Calgary,,Canada,51.0530588,-114.0625614,50000
Airdrie,Alberta,Canada,51.2859257,-114.0105994,50000
Severodvinsk,,,64.5637899,39.8240999,50000
Petrozavodsk,,,61.7900373,34.3900084,50000
Bloemfontein,Free State,South Africa,-29.1163947,26.2154956,50000
Vologda,,,59.2188765,39.8932762,50000
Deva,,,45.8845378,22.9001417,50000
Tver,,,56.858675,35.9208284,50000
Bilbao,,Spain,43.2629642,-2.9349478,50000
Vitoria-Gasteiz,,Spain,42.8463449,-2.6725146,50000
Velikiy Novgorod,,,58.5212433,31.2752153,50000
Ann Arbor,Michigan,United States,42.2681569,-83.7312291,50000
Flint,Michigan,United States,43.0171773,-83.7236024,50000
Pskov,,,57.8173995,28.3343684,50000
Dahab,,,28.4960946,34.5143587,50000
Kinshasa,,,-4.3217055,15.3125974,50000
Kaliningrad,,Russian Federation,54.7066422,20.5105166,50000
Velikiye Luki,,,56.3423598,30.5279225,50000
Smolensk,,,54.7940612,32.0549595,50000
Bryansk,,,53.2423553,34.3663917,50000
Hurghada,,,27.2405016,33.8267842,50000
Kursk,,,51.739433,36.179602,50000
San Antonio,Texas,United States,29.4246002,-98.4951405,50000
Orel,,,52.9685433,36.0692477,50000
Belgorod,,,50.5952987,36.5869335,50000
Devonport,,Australia,-41.1797561,146.3613011,50000
Poltava,,,49.5895681,34.5503455,50000
Zaporizhzhia,,,47.8598576,35.1097643,50000
Jēkabpils,,,56.4954937,25.8728624,50000
Marsa Alam,,,25.0699919,34.8938173,50000
Al Qusair,,,26.1070344,34.2719508,50000
Visby,,,57.6306463,18.3002077,50000
Liepāja,,,56.5111901,21.0184692,50000
Poznan,,,52.4082296,16.9333644,50000
Angeles,,,15.160632,120.5864028,50000
Brest,,,52.1005644,23.6803009,50000
Olongapo,,,14.8314675,120.2835205,50000
Kaunas,,,54.8981113,23.9113098,50000
Vilnius,,Lithuania,54.6843135,25.2853984,50000
Klaipėda,,,55.7101209,21.1306982,50000
Šiauliai,,,55.9268087,23.3147561,50000
Chichester,,United Kingdom,50.8364999,-0.7793194,50000
Yevpatoriia,,,45.1906837,33.367903,50000
Stone Town,,,-6.1634405,39.1932987,50000
Sluck,,,53.0300878,27.5550778,50000
Basel,,Switzerland,47.5429886,7.5969912,50000
Fort Worth,Texas,United States,32.753177,-97.3327459,50000
Essen,,Germany,51.4572062,7.0114963,50000
Frankfurt am Main,,Germany,50.1106529,8.6820934,50000
Norrköping,,,58.5909128,16.190348,50000
Gävle,,,60.6750132,17.1467019,50000
Umeå,,,63.8256571,20.2630714,50000
Iquitos,,,-3.7489983,-73.2458372,50000
Bandar-e Anzali,,,37.4721642,49.4579175,50000
St Asaph,Cymru / Wales,United Kingdom,53.2587982,-3.4433878,50000
Sankt-Peterburg,,Russian Federation,59.9393657,30.3153628,50000
Vladivostok,,Russian Federation,43.1152835,131.8854009,50000
Yekaterinburg,,Russian Federation,56.8391034,60.6082502,50000
Novosibirsk,,Russian Federation,55.0282215,82.9234476,50000
Samara,,Russian Federation,53.1984756,50.1142415,50000
Omsk,,Russian Federation,54.9913752,73.3714883,50000
Kazan,,Russian Federation,55.7823547,49.1242266,50000
Chelyabinsk,,Russian Federation,55.1598408,61.4025547,50000
Ufa,,Russian Federation,54.7262869,55.9477285,50000
